SampleTime,Depth,Temperature,Pressure,Bookmark
60,11.89,0.0,210297.5,
120,12.5,0.0,204978.5,
180,14.02,0.0,199659.5,
240,13.41,0.0,194340.5,
300,11.89,0.0,189021.5,
360,11.58,0.0,183702.5,
420,10.97,0.0,178383.5,
480,8.84,0.0,173064.5,
540,8.53,0.0,167745.5,
600,8.23,0.0,162426.5,
660,8.23,0.0,157107.5,Bookmark 
720,8.23,0.0,151788.5,
780,8.23,0.0,146469.5,
840,8.23,0.0,141150.5,
900,8.23,0.0,135831.5,
960,8.23,0.0,130512.5,
1020,10.97,0.0,125193.5,
1080,9.75,0.0,119874.5,
1140,9.45,0.0,114555.5,
1200,8.23,0.0,109236.5,
1260,8.23,0.0,103917.5,
1320,7.92,0.0,98598.5,
1380,7.62,0.0,93279.5,
1440,8.53,0.0,87960.5,
1500,7.92,0.0,82641.5,
1560,4.88,0.0,77322.5,
1620,4.88,0.0,72003.5,
1680,4.27,0.0,66684.5,
1740,4.27,0.0,61365.5,
1800,4.88,0.0,56046.5,
1860,4.88,0.0,50727.5,
1920,5.18,0.0,45408.5,
1980,5.18,0.0,40089.5,
2040,3.66,0.0,34770.5,
2100,2.44,0.0,29451.5,
